domain,Kelompok usia,indikator
motorik kasar,4 tahun,berjalan lurus di garis tanpa keluar jalur
motorik kasar,4 tahun,berlari dan berhenti tanpa jatuh
motorik kasar,4 tahun,melompat dengan dua kaki bersamaan
motorik kasar,4 tahun,berdiri dengan satu kaki +/- 5 detik
motorik kasar,4 tahun,menendang bola ke arah sasaran
motorik kasar,4 tahun,melempar bola ke arah depan
motorik kasar,4 tahun,menangkap bola besar jarak dekat
motorik kasar,5 tahun,berjalan jinjit 5-10 langkah
motorik kasar,5 tahun,berdiri satu kaki +/- 10 detik
motorik kasar,5 tahun,melompat dengan satu kaki
motorik kasar,5 tahun,melompat turun dari ketinggian rendah seimbang
motorik kasar,5 tahun,berlari mengikuti lintasan sederhana (lurus/zig-zag)
motorik kasar,5 tahun,menangkap bola yang dilempar perlahan dari jarak +/- 1-2 meter
motorik kasar,5 tahun,melempar bola ke sasaran
motorik kasar,5 tahun,"melakukan permainan motorik kasar terstruktur (misal: lompat aris, estafet sederhana)"
motorik kasar,6 tahun,berjalan di garis lurus sambil emmbawa benda
motorik kasar,6 tahun,berdiri satu kaki +/- 15-20 detik
motorik kasar,6 tahun,melompat jauh ke depan dengan seimbang
motorik kasar,6 tahun,melompat satu kaki bergantian
motorik kasar,6 tahun,melempar dan menangkap bola kecil
motorik kasar,6 tahun,menendang bola terarah dan terkontrol
motorik kasar,6 tahun,melakukan gerakan berirama atau senam sederhana mengikuti contoh
motorik kasar,6 tahun,mengikuti rangkaian gerak terkoordinasi (lari-lompat-berhenti sesuai instruksi)
motorik halus,4 tahun,memegang pensil dengan 3 jari
motorik halus,4 tahun,menggambar garis lurus dan lengkung
motorik halus,4 tahun,meniru bentuk sederhana
motorik halus,4 tahun,menggunting mengikuti garis lurus
motorik halus,4 tahun,menyusun 6-8 balok
motorik halus,4 tahun,membuka dan menutup kancing besar
motorik halus,4 tahun,memasukkan benda kecil ke wadah
motorik halus,5 tahun,memegang pensil dengan posisi benar dan stabil
motorik halus,5 tahun,menggambar bentuk dasar lengkap
motorik halus,5 tahun,menggambar orang dengan >= 4 bagian tubuh
motorik halus,5 tahun,menggunting mengikuti garis lengkung
motorik halus,5 tahun,menyusun puzzle 6-10 keping
motorik halus,5 tahun,mengancingkan dan membuka baju sendiri
motorik halus,5 tahun,menulis huruf atau angka sederhana
motorik halus,6 tahun,menulis nama sendiri dengan rapi
motorik halus,6 tahun,menyalin kata atau kalimat pendek
motorik halus,6 tahun,menggambar orang lengkap dan proporsional
motorik halus,6 tahun,menggunting pola kompleks
motorik halus,6 tahun,menyusun puzzle atau balok pola kompleks (>= 10 keping/balok)
motorik halus,6 tahun,melipat kertas atau melakukan aktivitas jari terkoordinasi lainnya
motorik halus,6 tahun,menggunakan alat tulis dan alat makan bengan baik
bahasa,4 tahun,mengucapkan kalimat 4-5 kata dengan jelas
bahasa,4 tahun,"menyebutkan nama, usia, dan jenis kelamin"
bahasa,4 tahun,"menjawab pertanyaan sederhana (apa, siapa)"
bahasa,4 tahun,mengikuti dua perintah sederhana secara berurutan
bahasa,4 tahun,Menyebutkan nama benda di sekitarnya
bahasa,5 tahun,berbicara lancar dengan kalimat lengkap
bahasa,5 tahun,"menjawab pertanyaan (apa, siapa, di mana)"
bahasa,5 tahun,menceritakan kembali pengalaman sederhana
bahasa,5 tahun,mengikuti tiga perintah secara berurutan
bahasa,5 tahun,mengenal dan meyebutkan fungsi benda
bahasa,6 tahun,berbicara jelas dan mudah dipahami
bahasa,6 tahun,"menjawab pertanyaan lengkap (apa, siapa, kapan, di mana)"
bahasa,6 tahun,menceritakan kembali cerita dengan urutan benar
bahasa,6 tahun,mengikuti instruksi kompleks (>= 3 tahap)
bahasa,6 tahun,menggunakan kosakata yang bervariasi
sosial kemandirian,4 tahun,mau bermain bersama teman
sosial kemandirian,4 tahun,menunggu giliran dalam permainan
sosial kemandirian,4 tahun,mengikuti aturan sederhana di kelas
sosial kemandirian,4 tahun,makan dan minum sendiri
sosial kemandirian,4 tahun,membereskan mainan setelah digunakan
sosial kemandirian,5 tahun,bermain kooperatif dengan teman
sosial kemandirian,5 tahun,mengungkapkan perasaan secara verbal
sosial kemandirian,5 tahun,mengikuti aturan permainan kelompok
sosial kemandirian,5 tahun,menggunakan toilet dengan bantuan minimal
sosial kemandirian,5 tahun,memakai dan melepas sepatu sendiri
sosial kemandirian,6 tahun,berinteraksi baik dengan teman dan guru
sosial kemandirian,6 tahun,mengendalikan emosi saat kecewa
sosial kemandirian,6 tahun,bertanggung jawab terhadap tugas sederhana
sosial kemandirian,6 tahun,menggunakan toilet secara mandiri
sosial kemandirian,6 tahun,menjaga barang pribadi dengan baik
