Domain Perkembangan,Kelompok Usia,Rekomendasi
Fisik Motorik,3 Tahun,Berlari
Fisik Motorik,3 Tahun,Melompat
Fisik Motorik,3 Tahun,Menyusun balok
Fisik Motorik,3 Tahun,Bisa memegang pensil
Fisik Motorik,3 Tahun,Corat-coret
Fisik Motorik,4 Tahun,Melompat 1 kaki
Fisik Motorik,4 Tahun,Menggunting lurus
Fisik Motorik,4 Tahun,Menulis garis
Fisik Motorik,5 Tahun,Menangkap bola
Fisik Motorik,5 Tahun,Menulis huruf & angka
Fisik Motorik,5 Tahun,Menggunting lurus & Zig-zag
Fisik Motorik,6 Tahun,Menulis nama
Fisik Motorik,6 Tahun,Koordinasi gerak stabil
Fisik Motorik,6 Tahun,Bisa mengukuti senam
Fisik Motorik,6 Tahun,Bisa mengukuti tari
Fisik Motorik,6 Tahun,Menggunting pola
Bahasa,3 Tahun,Mengucapkan kalimat 3 - 4 kata
Bahasa,3 Tahun,Melafalkan doa dengan bimbingan
Bahasa,3 Tahun,Bisa menyapa teman
Bahasa,4 Tahun,Bercerita sederhana
Bahasa,4 Tahun,Bertanya
Bahasa,4 Tahun,Menirukan
Bahasa,4 Tahun,Mengenal nama temannya
Bahasa,5 Tahun,Bercerita secara runtut
Bahasa,5 Tahun,Mengenal huruf
Bahasa,5 Tahun,Bisa berdoa secara bersama
Bahasa,5 Tahun,Mengenal alamat temannya
Bahasa,6 Tahun,Berkomunikasi dengan jelas
Bahasa,6 Tahun,Mengenal tulisan kata & kalimat
Bahasa,6 Tahun,Bisa berdoa
Bahasa,6 Tahun,Mengenal temannya lebih detail
Sosial Kemandirian,3 Tahun,Bermain bersama teman
Sosial Kemandirian,3 Tahun,Mau berbagi
Sosial Kemandirian,4 Tahun,Bisa bermain peran
Sosial Kemandirian,4 Tahun,Memahami aturan sederhana
Sosial Kemandirian,4 Tahun,Sabar menunggu giliran
Sosial Kemandirian,5 Tahun,Mampu kerjasama
Sosial Kemandirian,5 Tahun,Bisa menunjukkan empati
Sosial Kemandirian,5 Tahun,Senang membantu teman
Sosial Kemandirian,6 Tahun,Paham tanggung jajwab
Sosial Kemandirian,6 Tahun,Mampu mengendalikan emosi
Sosial Kemandirian,6 Tahun,Berani menyampaikan pendapat
Sosial Kemandirian,6 Tahun,Bisa merawat diri
